Session Date,Player Name,Session Title,Session Week Number,Session Start Time,Session End Time,Session Day of Week,Session Type,Drill Date,Drill End Time,Drill Start Time,Drill Title,Accelerations Zone 1,Accelerations Zone 2,Accelerations Zone 3,Accelerations Zone 4,Accelerations Zone 5,Accelerations Zone 6,Accelerations,Accelerations Total Distance Zone 1,Accelerations Total Distance Zone 2,Accelerations Total Distance Zone 3,Accelerations Total Distance Zone 4,Accelerations Total Distance Zone 5,Accelerations Total Distance Zone 6,Acceleration Impulse,Accelerations Total Time Zone 1,Accelerations Total Time Zone 2,Accelerations Total Time Zone 3,Accelerations Total Time Zone 4,Accelerations Total Time Zone 5,Accelerations Total Time Zone 6,Accelerations Zone 3 - Zone 6,Accelerations Zone 4 - Zone 6,Accelerations Zone 5 - Zone 6,Acute Chronic Ratio,Acute,Average Metabolic Power,Average Speed,Chronic,Decelerations,Decelerations Total Distance Zone 1,Decelerations Total Distance Zone 2,Decelerations Total Distance Zone 3,Decelerations Total Distance Zone 4,Decelerations Total Distance Zone 5,Decelerations Total Distance Zone 6,Decelerations Total Time Zone 1,Decelerations Total Time Zone 2,Decelerations Total Time Zone 3,Decelerations Total Time Zone 4,Decelerations Total Time Zone 5,Decelerations Total Time Zone 6,Decelerations Zone 1,Decelerations Zone 2,Decelerations Zone 3,Decelerations Zone 3 - Zone 6,Decelerations Zone 4,Decelerations Zone 4 - Zone 6,Decelerations Zone 5,Decelerations Zone 5 - Zone 6,Decelerations Zone 6,Distance Zone 2 - Zone 6 (Relative),Distance Zone 2 - Zone 6 (Absolute),Distance Zone 3 - Zone 6 (Relative),Distance Zone 3 - Zone 6 (Absolute),Distance Zone 4 - Zone 6 (Relative),Distance Zone 4 - Zone 6 (Absolute),Total Loading,Lower Speed Loading,Distance Per Min,Primary Label,Secondary Label,Tertiary Label,Dynamic Stress Load,Dynamic Stress Load Zone 1,Dynamic Stress Load Time Zone 1,Dynamic Stress Load Zone 2,Dynamic Stress Load Time Zone 2,Dynamic Stress Load Zone 3,Dynamic Stress Load Time Zone 3,Dynamic Stress Load Zone 3 - Zone 6,Dynamic Stress Load Zone 4,Dynamic Stress Load Time Zone 4,Dynamic Stress Load Zone 4 - Zone 6,Dynamic Stress Load Zone 5,Dynamic Stress Load Time Zone 5,Dynamic Stress Load Zone 5 - Zone 6,Dynamic Stress Load Zone 6,Dynamic Stress Load Time Zone 6,Total Distance,Distance Zone 1 (Absolute),Distance Zone 1 (Relative),Distance Zone 2 (Absolute),Distance Zone 2 (Relative),Distance Zone 3 (Absolute),Distance Zone 3 (Relative),Distance Zone 4 (Absolute),Distance Zone 4 (Relative),Distance Zone 5 (Absolute),Distance Zone 5 (Relative),Distance Zone 6 (Absolute),Distance Zone 6 (Relative),Energy Expenditure (Kcal),Equivalent Metabolic Distance,Entries Zone 3 (Absolute),Entries Zone 3 (Relative),Entries Zone 4 (Absolute),Entries Zone 4 (Relative),Entries Zone 5 (Absolute),Entries Zone 5 (Relative),Entries Zone 6 (Absolute),Entries Zone 6 (Relative),Explosive Distance (Absolute),Explosive Distance (Relative),External Work,Fatigue Index,High Intensity Bursts Total Distance,Duration Of High Intensity Bursts,High Intensity Bursts Maximum Speed,Number Of High Intensity Bursts,HML Distance,HMLD Per Minute,HML Time,HML Efforts Total Distance,HML Efforts,High Speed Running (Absolute),HSR Per Minute (Absolute),High Speed Running (Relative),HSR Per Minute (Relative),Impacts,Impacts Zone 1,Impacts Zone 2,Impacts Zone 3,Impacts Zone 3 - Zone 6,Impacts Zone 4,Impacts Zone 4 - Zone 6,Impacts Zone 5,Impacts Zone 5 - Zone 6,Impacts Zone 6,Max Deceleration,Player Max Speed,Metabolic Distance,Metabolic Distance Zone 1,Metabolic Distance Zone 2,Metabolic Distance Zone 3,Metabolic Distance Zone 4,Metabolic Distance Zone 5,Metabolic Distance Zone 6,Max Speed,Metabolic Time,Max Acceleration,No of Satellites,Player Position,Quality of Signal,Step Balance,Speed Intensity,Sprints,Sprint Distance,Player Sprint Threshold,Total Acceleration Loading,Total Deceleration Loading,Average Time Since Last Accel,Average Time Since Last Decel,Average Time Since Last HIB,Average Time Since Last HML Effort,Average Time Since Last Sprint,Total Time,Time Zone 1 (Absolute),Time Zone 1 (Relative),Time Zone 2 (Absolute),Time Zone 2 (Relative),Time Zone 3 (Absolute),Time Zone 3 (Relative),Time Zone 4 (Absolute),Time Zone 4 (Relative),Time Zone 5 (Absolute),Time Zone 5 (Relative),Time Zone 6 (Absolute),Time Zone 6 (Relative)
1/9/2020,Player 1,MD-2 (11 v 11),36,16:22:41,17:26:31,Tuesday,Match Day -2,1/9/2020,17:26:31,16:22:41,Full Session,138,150,57,23,17,2,42,124,410,267,91,168,25,68.74,0:01:37,0:03:14,0:01:30,0:00:28,0:00:34,0:00:04,99,42,19,4,7.71,6.7,1.18,1.93,48,75,182,104,105,14,8,0:01:32,0:02:48,0:01:20,0:00:59,0:00:08,0:00:04,154,144,50,98,36,48,8,12,4,2863,2863,1409,1409,852,852,69.31,29.97,70.81,,,,161.34,33.39,0:03:28,34.52,0:00:45,33.41,0:00:14,78.58,19.32,0:00:03,45.17,17.99,0:00:01,25.85,7.86,0:00:00,4520,1657,1657,1454,1454,557,557,433,433,275,275,144,144,490.34,5522,33,33,26,26,18,18,7,7,384,384,623.99,0.73,488,0:03:14,9.28,11,803,12.59,0:02:46,760,67,419,6.56,419,6.56,57,2080,453,148,205,36,57,17,21,4,10.01,10.07,2156,887,1478,676,676,526,278,9.28,0:10:54,5.94,20,FWD,327,0,222.52,23,443,5.5,30.36,5.38,0:01:07,0:00:57,0:06:09,0:00:57,0:02:46,1:03:49,0:46:50,0:46:50,0:11:41,0:11:41,0:02:41,0:02:41,0:01:33,0:01:33,0:00:45,0:00:45,0:00:18,0:00:18
1/9/2020,Player 1,MD-2 (11 v 11),36,16:22:41,17:26:31,Tuesday,Match Day -2,1/9/2020,16:36:30,16:22:42,Drill 1,43,44,14,5,1,0,6,13,48,28,7,5,0,80.16,0:00:21,0:00:46,0:00:14,0:00:05,0:00:02,0:00:00,20,6,1,4,7.71,3.72,0.69,1.93,3,24,23,12,1,2,0,0:00:35,0:00:39,0:00:14,0:00:01,0:00:01,0:00:00,60,41,8,11,1,3,2,2,0,235,235,28,28,6,6,13.27,10.97,41.28,,,,14.97,6.26,0:00:42,3.88,0:00:05,2.62,0:00:01,2.62,0,0:00:00,0,0,0:00:00,0,0,0:00:00,570,335,335,207,207,22,22,6,6,0,0,0,0,58.87,663,4,4,1,1,0,0,0,0,29,29,82.01,0.61,7,0:00:12,3.23,1,29,2.11,0:00:09,10,2,0,0,0,0,0,427,50,13,13,0,0,0,0,0,4.76,10.07,137,221,211,66,42,23,6,4.9,0:01:00,4.07,21,FWD,328,0.02,24.73,0,0,5.5,0.85,0.09,0:00:39,0:00:58,0:27:30,0:11:01,0:00:00,0:13:48,0:11:54,0:11:54,0:01:46,0:01:46,0:00:06,0:00:06,0:00:01,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00
1/9/2020,Player 1,MD-2 (11 v 11),36,16:22:41,17:26:31,Tuesday,Match Day -2,1/9/2020,16:38:55,16:36:30,Drill 2,3,17,6,2,1,0,3,4,23,10,6,4,0,94.37,0:00:03,0:00:17,0:00:07,0:00:02,0:00:01,0:00:00,9,3,1,4,7.71,7.05,1.14,1.93,4,2,8,8,3,0,0,0:00:02,0:00:09,0:00:09,0:00:03,0:00:00,0:00:00,5,6,12,16,4,4,0,0,0,95,95,10,10,0,0,3.01,1.76,68.27,,,,4.66,1.34,0:00:08,1.62,0:00:02,1.22,0:00:00,1.22,0,0:00:00,0,0,0:00:00,0,0,0:00:00,165,70,70,85,85,10,10,0,0,0,0,0,0,19.57,220,3,3,0,0,0,0,0,0,14,14,24.03,0.63,0,0:00:00,0,0,14,5.85,0:00:05,10,3,0,0,0,0,0,85,21,6,6,0,0,0,0,0,3.73,10.07,76,50,39,29,32,12,2,3.79,0:00:33,4.02,21,FWD,328,0.09,7.35,0,0,5.5,0.5,0,0:01:00,0:00:40,0:00:00,0:01:00,0:00:00,0:02:25,0:01:42,0:01:42,0:00:39,0:00:39,0:00:02,0:00:02,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1/9/2020,Player 1,MD-2 (11 v 11),36,16:22:41,17:26:31,Tuesday,Match Day -2,1/9/2020,16:52:38,16:44:02,Drill 3,19,21,15,7,6,0,13,22,53,81,19,69,0,94.34,0:00:15,0:00:26,0:00:28,0:00:06,0:00:11,0:00:00,28,13,6,4,7.71,10.97,1.84,1.93,12,13,54,20,25,2,6,0:00:14,0:00:44,0:00:14,0:00:11,0:00:01,0:00:02,27,37,8,20,8,12,1,4,3,709,709,328,328,185,185,14.97,4.73,110.48,,,,41.43,7.6,0:00:45,8.2,0:00:10,7.05,0:00:03,20.9,4.59,0:00:00,13.84,7.71,0:00:00,9.25,1.54,0:00:00,950,241,241,381,381,143,143,78,78,34,34,72,72,108.22,1219,6,6,8,8,3,3,2,2,95,95,141.61,0.85,176,0:00:59,9.28,4,202,23.43,0:00:40,170,16,107,12.4,107,12.4,17,459,107,33,50,9,17,7,8,1,10.01,10.07,519,125,306,167,151,106,96,9.28,0:02:36,4.99,19,FWD,327,0,48.71,4,101,5.5,10.51,2.56,0:00:59,0:00:43,0:03:22,0:00:32,0:09:04,0:08:36,0:04:20,0:04:20,0:03:02,0:03:02,0:00:41,0:00:41,0:00:17,0:00:17,0:00:05,0:00:05,0:00:08,0:00:08
1/9/2020,Player 1,MD-2 (11 v 11),36,16:22:41,17:26:31,Tuesday,Match Day -2,1/9/2020,17:06:39,16:57:48,Drill 4,25,27,11,4,4,1,9,47,124,81,33,42,15,93.66,0:00:23,0:00:39,0:00:19,0:00:07,0:00:09,0:00:02,20,9,5,4,7.71,12.22,2.09,1.93,15,17,39,35,40,5,1,0:00:14,0:00:29,0:00:21,0:00:18,0:00:03,0:00:01,21,22,8,23,11,15,3,4,1,866,866,505,505,339,339,16.61,3.82,125.38,,,,55.54,8.59,0:00:52,9.22,0:00:12,12.11,0:00:05,32.8,7.4,0:00:01,20.69,6.98,0:00:00,13.29,6.32,0:00:00,1109,244,244,361,361,165,165,164,164,141,141,34,34,124.08,1397,9,9,6,6,10,10,3,3,115,115,164.13,0.96,220,0:01:33,8.17,4,290,32.76,0:00:55,294,23,175,19.81,175,19.81,23,523,126,51,74,13,23,7,10,3,5.67,10.07,686,143,281,208,188,193,98,8.17,0:03:09,5.69,20,FWD,326,0.01,58.02,12,203,5.5,11.46,0.95,0:01:28,0:00:54,0:03:30,0:00:33,0:01:14,0:08:50,0:04:13,0:04:13,0:02:47,0:02:47,0:00:48,0:00:48,0:00:34,0:00:34,0:00:23,0:00:23,0:00:04,0:00:04
1/9/2020,Player 1,MD-2 (11 v 11),36,16:22:41,17:26:31,Tuesday,Match Day -2,1/9/2020,17:20:32,17:10:37,Drill 5,24,32,9,5,5,1,11,27,156,60,25,48,10,91.69,0:00:17,0:00:56,0:00:16,0:00:07,0:00:09,0:00:02,20,11,6,4,7.71,11.75,2.06,1.93,13,15,57,29,36,5,0,0:00:13,0:00:38,0:00:20,0:00:23,0:00:02,0:00:00,19,27,14,27,11,13,2,2,0,917,917,535,535,320,320,17.08,4.74,123.77,,,,42.91,9.12,0:00:55,11.4,0:00:14,9.88,0:00:04,20.1,6.92,0:00:01,10.22,3.3,0:00:00,3.3,0,0:00:00,1227,310,310,382,382,215,215,183,183,100,100,37,37,133.56,1504,10,10,11,11,5,5,2,2,126,126,176.68,0.68,85,0:00:29,7.58,2,263,26.52,0:00:53,273,22,137,13.82,137,13.82,16,557,147,43,59,13,16,3,3,0,4.99,10.07,717,138,372,196,258,187,76,8.74,0:03:25,5.94,21,FWD,335,-0.01,62.76,7,140,5.5,7.04,1.79,0:00:52,0:01:01,0:06:19,0:00:37,0:01:49,0:09:54,0:04:45,0:04:45,0:03:06,0:03:06,0:01:01,0:01:01,0:00:39,0:00:39,0:00:16,0:00:16,0:00:04,0:00:04
1/9/2020,Player 2,MD-2 (11 v 11),36,16:22:41,17:26:31,Tuesday,Match Day -2,1/9/2020,16:36:30,16:22:41,Drill 1,38,44,7,5,3,0,8,20,58,10,11,12,0,92.34,0:00:25,0:00:46,0:00:05,0:00:05,0:00:04,0:00:00,15,8,3,4,8.43,4.29,0.79,2.11,3,20,17,26,5,2,0,0:00:31,0:00:24,0:00:15,0:00:02,0:00:00,0:00:00,54,24,15,18,2,3,1,1,0,294,294,37,37,16,16,14.15,11.28,47.28,,,,20.59,7.79,0:00:49,5.29,0:00:07,2,0:00:01,5.24,3.24,0:00:00,3.24,0,0:00:00,0,0,0:00:00,653,359,359,256,256,22,22,16,16,0,0,0,0,67.94,765,3,3,1,1,0,0,0,0,37,37,99.53,0.72,12,0:00:11,3.68,1,37,2.66,0:00:10,19,4,0,0,0,0,6,493,73,10,16,6,6,0,0,0,4.36,9.51,187,241,225,103,48,20,16,4.89,0:01:20,4.51,20,DEF,313,-0.01,28.6,0,0,5.5,3.75,0.29,0:06:07,0:00:02,0:27:30,0:05:29,0:00:00,0:13:48,0:11:30,0:11:30,0:02:08,0:02:08,0:00:06,0:00:06,0:00:03,0:00:03,0:00:00,0:00:00,0:00:00,0:00:00
1/9/2020,Player 2,MD-2 (11 v 11),36,16:22:41,17:26:31,Tuesday,Match Day -2,1/9/2020,17:26:31,16:22:41,Full Session,145,193,59,17,6,0,23,139,609,392,101,45,0,76.55,0:01:42,0:04:20,0:01:47,0:00:28,0:00:11,0:00:00,82,23,6,4,11.43,6.87,1.23,2.86,49,83,205,117,76,39,7,0:01:33,0:02:55,0:01:26,0:00:50,0:00:22,0:00:06,151,150,63,112,33,49,13,16,3,3262,3262,1636,1636,898,898,73.08,28.81,73.77,,,,193.62,38.45,0:03:54,47.5,0:01:04,29.25,0:00:13,80.05,22.66,0:00:04,50.8,17.18,0:00:01,28.14,10.95,0:00:00,4709,1447,1447,1625,1625,738,738,577,577,203,203,118,118,502.97,5664,50,50,31,31,14,14,6,6,505,505,699.36,0.83,318,0:02:06,9.15,11,826,12.94,0:02:59,821,80,321,5.04,321,5.04,65,2346,641,136,201,44,65,16,21,5,7.73,9.51,2540,808,1362,765,947,590,237,9.15,0:13:03,4.81,20,DEF,317,-0.02,232.54,21,352,5.5,22.42,8.23,0:04:00,0:00:54,0:06:23,0:00:47,0:03:07,1:03:49,0:44:38,0:44:38,0:12:42,0:12:42,0:03:35,0:03:35,0:02:05,0:02:05,0:00:33,0:00:33,0:00:15,0:00:15
1/9/2020,Player 2,MD-2 (11 v 11),36,16:22:41,17:26:31,Tuesday,Match Day -2,1/9/2020,16:38:55,16:36:30,Drill 2,5,11,5,0,0,0,0,4,22,5,0,0,0,89.32,0:00:03,0:00:14,0:00:03,0:00:00,0:00:00,0:00:00,5,0,0,4,8.43,6.04,1.14,2.11,1,2,9,6,1,0,0,0:00:02,0:00:13,0:00:07,0:00:00,0:00:00,0:00:00,4,11,6,7,1,1,0,0,0,74,74,3,3,0,0,2.6,1.88,68.59,,,,3.09,1.11,0:00:07,1.21,0:00:01,0.37,0:00:00,0.37,0,0:00:00,0,0,0:00:00,0,0,0:00:00,166,92,92,70,70,3,3,0,0,0,0,0,0,16.77,189,1,1,0,0,0,0,0,0,4,4,21.6,0.43,0,0:00:00,0,0,4,1.57,0:00:01,0,0,0,0,0,0,0,70,18,2,2,0,0,0,0,0,3.47,9.51,49,54,63,26,19,4,0,3.36,0:00:22,2.81,21,DEF,311,-0.01,7.24,0,0,5.5,0,0.21,0:00:00,0:02:04,0:00:00,0:00:00,0:00:00,0:02:25,0:01:49,0:01:49,0:00:34,0:00:34,0:00:01,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1/9/2020,Player 2,MD-2 (11 v 11),36,16:22:41,17:26:31,Tuesday,Match Day -2,1/9/2020,16:52:38,16:44:02,Drill 3,24,34,17,2,1,0,3,37,110,147,15,7,0,104.4,0:00:20,0:00:46,0:00:36,0:00:04,0:00:01,0:00:00,20,3,1,4,8.43,11.4,2,2.11,13,16,48,27,21,9,4,0:00:11,0:00:36,0:00:22,0:00:15,0:00:04,0:00:02,20,29,14,27,10,13,2,3,1,837,837,409,409,192,192,16.4,3.93,120.2,,,,55.49,8.97,0:00:54,11.94,0:00:16,6.84,0:00:03,22.17,5.23,0:00:00,15.33,5.84,0:00:00,10.1,4.26,0:00:00,1034,197,197,428,428,217,217,97,97,33,33,62,62,112.46,1267,12,12,8,8,3,3,2,2,99,99,160.97,1.05,100,0:00:20,9.15,3,194,22.51,0:00:40,193,19,95,11.04,95,11.04,18,546,163,33,51,10,18,6,8,2,7.73,9.51,660,119,255,206,259,122,73,9.15,0:03:24,4.81,19,DEF,316,-0.01,52.81,5,99,5.5,4.11,1.37,0:01:33,0:00:34,0:04:43,0:00:23,0:07:33,0:08:36,0:03:42,0:03:42,0:03:15,0:03:15,0:01:03,0:01:03,0:00:21,0:00:21,0:00:05,0:00:05,0:00:07,0:00:07
